Country,Agglomeration 0me (in English),Nr Inhabitants,Area (km2),55-59,60-64,65-69,70-74,>75,Percentages
Germany,Mainz,209402,98,22400,13600,7500,1800,200,21.6330312
Germany,Saarbrucken,231556,219,17500,12700,9900,2800,200,18.52683584
Germany,Chemnitz,173973,53,14300,11400,7700,1600,100,20.1180643
Germany,Dresden,509971,186,38600,34900,22500,4600,100,19.72661191
Germany,Leipzig,539039,297,35300,28500,28200,11100,300,19.12663091
Germany,Halle,231565,136,22700,15600,10000,3200,2200,22.23997582
Germany,Magdeburg,231021,202,43400,27800,11000,900,100,35.97075591
Germany,Kiel,290000,189,16200,10400,8700,1500,100,12.68965517
Germany,Lubeck,250000,298,14600,7800,6900,1000,0,12.12
Greece,Athens,745514,38,0,0,0,0,0,0
Greece,Thessaloniki,363987,18,0,0,0,0,0,0
Hungary,Budapest,2158871,1130,342100,287600,257600,184900,61300,49.66484797
Hungary,Debrecen,203059,462,33200,35000,25400,10000,600,51.01965439
Hungary,Gyor,131564,175,18100,21900,20500,4500,0,49.40561248
Hungary,Kecskemet,111724,323,23600,19200,10100,1400,0,48.60191185
Hungary,Miskolc,158101,237,27400,25900,22800,12700,600,56.16662766
Hungary,Nyiregyhaza,118058,275,14800,13800,12100,2800,0,36.84629589
Hungary,Pecs,145347,163,23700,20100,11300,4800,200,41.21172092
Hungary,Szeged,162621,281,25300,16400,11300,3700,400,34.86634567
Iceland,Akureyri,18787,138,100,0,0,0,0,0.532282962
Iceland,Gardabaer,15709,71,2200,500,0,0,0,17.18759947
Iceland,Haf0fjordur,29412,143,2600,1600,300,100,0,15.63987488
Iceland,Kopavogur,35970,80,7000,1900,300,0,0,25.57686961
Iceland,Mosfellsbaer,10556,185,1700,200,0,0,0,17.99924214
Iceland,Reykjanesbaer,17805,145,1500,100,0,0,0,8.98623982
Iceland,Reykjavik,126041,274,17900,11600,4600,1300,100,28.08609897
Iceland,Selfoss,8995,158,200,200,0,0,0,4.446914953
Iceland,Seltjar0rnes,4575,2,100,0,100,0,0,4.371584699
Ireland,Cork,190900,186,29200,19300,19000,2200,0,36.51126244
Ireland,Dublin,1308900,936,291500,127900,139600,53200,4500,46.77209871
Italy,Andria,100440,399.54,18500,49000,22000,1900,0,90.99960175
Italy,Bari,326344,116.67,70000,100100,64800,17600,200,77.37234329
Italy,Bergamo,120262,39.6,21900,16100,14000,6200,1100,48.39433903
Italy,Bolog0,492507,274.66,103800,86300,66300,55300,9300,63.28844057
Italy,Bolzano,106110,52.33,12800,5200,9200,5200,100,30.53435115
Italy,Brescia,197956,90.68,55900,44300,26700,5400,200,66.8330336
Italy,Cagliari,342800,225,43300,98000,124000,63600,2700,95.94515753
Italy,Catania,293902,182,48200,45600,74500,33800,900,68.76441807
Italy,Ferrara,133682,404.64,21100,22000,11500,2500,0,42.71330471
Italy,Florence,355798,102.27,86000,51800,70700,18700,1300,63.85645788
Italy,Foggia,151991,505.7,33900,42300,31000,5900,0,74.41230073
Italy,Forli,118295,228,23100,25000,11200,700,0,50.72065599
Italy,Genoa,594733,243,32800,27400,16600,11100,2300,14.7797415
Italy,Lati0,117892,277,13400,20200,23200,13300,300,59.46120178
Italy,Livorno,157825,101.98,14900,50800,53000,31300,0,95.04197687
Italy,Mode0,185000,183.49,45300,31900,34500,7400,400,64.37837838
Italy,0ples,1004500,117.27,0,0,0,0,0,0
