Country,Agglomeration Name (in English),Population,Area,55-59,60-64,65-69,70-74,>75,,,,,,,,,,,,,,,,,,,,,,
Germany,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,
Germany,Hamburg,1896342,1045.00,170400,130400,89100,25800,300,,,,,,,,,,,,,,,,,,,,,,
Germany,Darmstadt,149743,122.00,11600,9000,7900,2700,0,,,,,,,,,,,,,,,,,,,,,,
Germany,Frankfurt,701350,248.00,61900,39200,31400,19000,3600,,,,,,,,,,,,,,,,,,,,,,
Germany,Kassel,194087,107.00,10600,8000,4900,3700,300,,,,,,,,,,,,,,,,,,,,,,
Germany,Offenbach,119203,45.00,7500,5500,6200,6100,1100,,,,,,,,,,,,,,,,,,,,,,
Germany,Wiesbaden,273871,204.00,19400,13500,11300,6100,600,,,,,,,,,,,,,,,,,,,,,,
Germany,Rostock,203431,169.00,12000,6700,2400,400,0,,,,,,,,,,,,,,,,,,,,,,
Germany,Braunschweig,250556,193.00,24500,13500,7800,1800,0,,,,,,,,,,,,,,,,,,,,,,
Germany,Gottingen,121364,117.00,13100,7800,3700,400,0,,,,,,,,,,,,,,,,,,,,,,
Germany,Hannover,525875,204.00,41100,30800,20400,4600,400,,,,,,,,,,,,,,,,,,,,,,
Germany,Oldenburg,162481,103.00,22700,11000,3400,100,0,,,,,,,,,,,,,,,,,,,,,,
Germany,Osnabruck,165021,120.00,14200,10700,10100,3400,200,,,,,,,,,,,,,,,,,,,,,,
Germany,Aachen,240484,161.00,31000,26700,16000,11700,1300,,,,,,,,,,,,,,,,,,,,,,
Germany,Bergisch Gladbach,109678,83.00,9800,7300,4200,1000,0,,,,,,,,,,,,,,,,,,,,,,
Germany,Bielefeld,328965,259.00,39300,27400,17700,6100,300,,,,,,,,,,,,,,,,,,,,,,
Germany,Bochum,361390,146.00,61000,39200,19000,5300,100,,,,,,,,,,,,,,,,,,,,,,
Germany,Bonn,312207,141.00,27100,20700,13000,5000,1000,,,,,,,,,,,,,,,,,,,,,,
Germany,Bottrop,115780,101.00,17700,12600,6000,600,0,,,,,,,,,,,,,,,,,,,,,,
Germany,Cologne,1039488,405.00,116300,91900,78300,24000,700,,,,,,,,,,,,,,,,,,,,,,
Germany,Dortmund,578236,281.00,93000,57400,26500,8300,200,,,,,,,,,,,,,,,,,,,,,,
Germany,Duisburg,485580,233.00,57600,36900,21900,5100,100,,,,,,,,,,,,,,,,,,,,,,
Germany,Dusseldorf,601074,217.00,129400,79600,51700,13600,200,,,,,,,,,,,,,,,,,,,,,,
Germany,Essen,570827,210.00,57100,36700,33400,25900,11200,,,,,,,,,,,,,,,,,,,,,,
Germany,Gelsenkirchen,258290,105.00,31600,18500,12300,5100,500,,,,,,,,,,,,,,,,,,,,,,
Germany,Hagen,185823,160.00,42300,34000,22600,14300,9800,,,,,,,,,,,,,,,,,,,,,,
Germany,Herne,154507,51.00,27200,17200,9000,1100,0,,,,,,,,,,,,,,,,,,,,,,
Germany,Krefeld,222424,138.00,23100,14900,10400,2900,0,,,,,,,,,,,,,,,,,,,,,,
Germany,Leverkusen,161065,79.00,32700,16700,9200,1700,0,,,,,,,,,,,,,,,,,,,,,,
Germany,Moers,102935,68.00,17800,7000,3300,600,0,,,,,,,,,,,,,,,,,,,,,,
Germany,Monchengladbach,255975,170.00,27600,24700,26200,4200,0,,,,,,,,,,,,,,,,,,,,,,
Germany,Mulheim an der Ruhr,166769,91.00,19500,16300,9400,1100,0,,,,,,,,,,,,,,,,,,,,,,
Germany,Munster,300149,303.00,22200,13900,10400,2800,200,,,,,,,,,,,,,,,,,,,,,,
Germany,Neuss,152256,100.00,36000,19200,8500,900,0,,,,,,,,,,,,,,,,,,,,,,
Germany,Oberhausen,209210,77.00,30200,20800,11000,1000,0,,,,,,,,,,,,,,,,,,,,,,
Germany,Recklinghausen,114523,66.00,15800,9500,6600,2800,0,,,,,,,,,,,,,,,,,,,,,,
Germany,Remscheid,109024,75.00,4100,3800,4000,1300,0,,,,,,,,,,,,,,,,,,,,,,
Germany,Solingen,156369,90.00,6600,8400,8100,2000,0,,,,,,,,,,,,,,,,,,,,,,
Germany,Wuppertal,343494,168.00,25700,19000,19300,13000,1200,,,,,,,,,,,,,,,,,,,,,,
Germany,Koblenz,109922,105.00,8400,4800,4200,1200,100,,,,,,,,,,,,,,,,,,,,,,
Germany,Ludwigshafen,165362,78.00,16300,11600,9300,3200,100,,,,,,,,,,,,,,,,,,,,,,
Germany,Mainz,209402,98.00,22400,13600,7500,1800,200,,,,,,,,,,,,,,,,,,,,,,
Germany,Saarbrucken,231556,219.00,17500,12700,9900,2800,200,,,,,,,,,,,,,,,,,,,,,,
Germany,Chemnitz,173973,53.00,14300,11400,7700,1600,100,,,,,,,,,,,,,,,,,,,,,,
Germany,Dresden,509971,186.00,38600,34900,22500,4600,100,,,,,,,,,,,,,,,,,,,,,,
